ls_id,maggies_0,maggies_1,maggies_2,maggies_3,maggies_4,maggies_unc_0,maggies_unc_1,maggies_unc_2,maggies_unc_3,maggies_unc_4,maggies_fit_0,maggies_fit_1,maggies_fit_2,maggies_fit_3,maggies_fit_4,dust2_mean,tau_mean,massmet_1_mean,massmet_2_mean,logtmax_mean,dust2_std,tau_std,massmet_1_std,massmet_2_std,logtmax_std,chisq_maggies
9907737939215280,2.0103515078777108e-08,7.783519181216314e-08,1.6472670067678553e-07,2.0993710304004484e-07,1.494386033506818e-07,1.362004852343113e-10,2.721530698789243e-10,3.4934531633041595e-10,9.079524000454109e-10,1.3973798436689502e-09,3.150599503087319e-08,7.475682776800028e-08,1.3912870821918447e-07,2.328249133342004e-07,1.6463480559439235e-07,1.354935024359303,0.1002953209803872,10.999960064498435,-0.499801981109806,-1.4614003107122562,0.0023131348298670185,0.0002624513333245915,3.56035022638815e-05,0.00016535095547608354,0.0009537993698690521,1.460750776698804e-08
9906602971499897,2.7452506307482333e-10,3.787379289543686e-10,5.2654561454693e-10,1.5134455474202337e-10,1.6845798437960786e-09,1.8704876812612923e-11,2.6311446915256948e-11,8.162636093793263e-11,1.2933159312679571e-09,7.766667877139074e-10,2.655336868835564e-10,3.5852713899162395e-10,6.196425210751246e-10,1.4528021798759895e-09,9.96565238939795e-10,0.3966265996593643,2.423650722727204,9.054071086938462,-0.17391738970809772,-1.3811134607639122,0.06643560764234346,2.3328318863472437,0.039562070867149274,0.14915292487569684,0.12372781129935743,1.1490459457321428e-08
9907738172458995,2.077286506236998e-09,6.561404316637281e-09,2.2039107334477708e-08,5.2447066258966825e-08,3.159573044203509e-08,6.983663282364008e-11,1.0941947302143243e-10,1.469543388373721e-10,5.609477542098165e-10,9.33494794766155e-10,2.7730629580695766e-09,8.187632395427366e-09,1.9634268086612714e-08,5.18021692550708e-08,3.758214074779919e-08,1.2754773979774825,0.10080035579358441,10.999598996189192,-0.3520525952899906,-1.2336342981476043,0.018303543337902427,0.0006598236466576194,0.0003265322003723462,0.06623092207300856,0.0034171661397074332,2.0406807499786578e-09
9906621502529930,4.349775071452397e-08,1.1974891855004066e-07,2.4775977616966893e-07,2.5089938685955813e-07,1.7153312512313067e-07,5.5481615466164e-11,8.270948621535259e-11,1.9192519398563129e-10,9.924045997847674e-10,1.6935000056832482e-09,4.636788715745004e-08,1.1651654150236926e-07,2.4775790245461e-07,2.633533539250274e-07,1.6551677910445934e-07,0.5854714916539886,0.1005413133873741,10.999976239980263,-0.2499801441789585,-0.6696113802670834,0.0017530187913145706,0.0004685835014466737,2.0967007072035704e-05,0.000331094087537944,0.0007477757390860895,1.1058315668274963e-09
9906619540708295,3.860809738235398e-08,1.3444851198126738e-07,2.683411026389972e-07,2.9718713142453296e-07,2.0638474827223363e-07,7.178284176444094e-11,1.1202870904835881e-10,2.6734065213810496e-10,1.1823281514920434e-09,2.009567450159227e-09,5.539667651363157e-08,1.1908544431080089e-07,2.373329893808728e-07,4.0782325041721777e-07,2.8254770518324355e-07,1.5405110989099577,0.100052351344886,10.99999176446451,-0.49994567180747634,-1.535988354796681,0.0013791276418334338,4.5743607833314286e-05,7.139428115053761e-06,4.835538398251603e-05,0.0006116847559637325,8.193314144843254e-08
9907735249881579,9.552151458623356e-09,4.49080295764078e-08,1.0915277970246654e-07,2.0735857516122856e-07,1.3786397619018734e-07,1.2801191986898424e-10,2.617601379767393e-10,3.3273900363850935e-10,1.0448181592917409e-09,1.7503068725520886e-09,1.7778486644390292e-08,4.583147228805961e-08,8.99152881646108e-08,2.1835249516385314e-07,1.662563852849216e-07,1.437898525750345,0.10099579784510347,10.999894185461372,-0.4998464488941967,-1.6549077151466756,0.003088872985612804,0.000866443316203706,8.593924778658305e-05,0.00013354335300620084,0.001955372776220212,1.6924177465711023e-08
9906633027027791,3.783181697875079e-09,1.4373588257527448e-08,3.4274600388353554e-08,5.650806030934881e-08,1.8100809595206955e-08,6.058863527499486e-11,1.0829458487861031e-10,2.2786118556012233e-10,6.75825338447538e-10,1.245043700257304e-09,3.399875648918386e-09,1.5128137579977563e-08,3.3215617760259946e-08,4.8770811555445226e-08,3.521617762107724e-08,0.2571057310175543,0.10054915152019134,10.999596165657998,-0.2519038590246937,-0.8021468697389162,0.00747523421673395,0.0004731155878150399,0.0003441536682062718,0.0043970102081235685,0.0024780337334146933,1.7354148270473514e-08
9906633006190484,4.9829714628244004e-09,2.2614656733373703e-08,4.908011820330727e-08,7.386542483446428e-08,4.69259204451014e-08,5.881588082172893e-11,1.0040867194788723e-10,2.387922682051671e-10,7.320670787833825e-10,1.373665964371143e-09,5.267736469910701e-09,2.2762824426822546e-08,4.769653233952728e-08,7.390659109316533e-08,5.418571787229141e-08,0.5651122652512954,0.1006705407737937,10.999207758794963,-0.2504456938745954,-0.8403073160347653,0.006732235427470399,0.0005286089149505269,0.000619186574789951,0.0029387627502013387,0.0023385166124187764,1.1794171085785873e-09
9906621417783773,5.736328315901184e-09,2.1195691997833476e-08,5.132408316131532e-08,8.404657110850896e-08,4.401582030115629e-08,4.374778023749887e-11,6.826686240034815e-11,1.7636507546052574e-10,8.455209542029031e-10,1.6061452208496246e-09,6.817948941030472e-09,2.194327423622007e-08,4.2940682725801004e-08,9.251069975642391e-08,6.890387617757328e-08,1.3794452272541669,0.10035217476003383,10.999894712806867,-0.4992722381452779,-1.3362178939180243,0.0043997359517202956,0.00029642972304604336,8.887827760148344e-05,0.0006190981319580249,0.0018524222088947837,1.652464222998116e-08
9906621696450873,3.0668575199466804e-08,1.0831385173518495e-07,2.1690182192378142e-07,2.416624644146301e-07,1.7281777127289225e-07,7.24844008190853e-11,1.0346119344888086e-10,2.265196928654548e-10,1.0663460733124243e-09,1.8802118240251356e-09,4.455556954004205e-08,9.902028255380311e-08,1.9582636020852988e-07,3.198685497525216e-07,2.1914311779525342e-07,1.553473172944158,0.10004493764455272,10.999989231672345,-0.4999209130750948,-1.4300613528294848,0.0015919720392899483,3.9772005109391756e-05,9.546120161915369e-06,6.732559473823946e-05,0.0006114280821786757,4.68601181502185e-08
